Water Year,PEST24: PEST24 Value,PEST20: PEST20 Value,Base: Init6 Value,Historical: Historical Data Value
1922,306.475,299.907,350.447,
1923,304.789,156.032,250.763,
1924,230.814,297.564,372.969,
1925,70.278,59.665,78.602,
1926,16.967,0.0,0.0,
1927,65.348,15.974,73.293,
1928,91.953,85.001,107.496,
1929,21.119,17.87,0.337,
1930,0.0,4.317,0.0,
1931,97.258,149.676,184.741,
1932,189.225,216.596,269.201,
1933,17.337,27.208,169.33,
1934,81.467,125.06,164.222,
1935,31.603,40.803,4.037,
1936,102.388,104.826,126.484,
1937,158.247,103.255,67.893,
1938,384.319,410.369,328.232,
1939,211.501,78.877,69.566,
1940,26.973,14.542,32.11,
1941,589.939,483.044,530.64,
1942,459.034,388.002,371.14,
1943,353.241,335.495,353.631,
1944,0.0,0.0,0.253,
1945,83.59,36.213,53.583,
1946,73.805,13.42,43.341,
1947,0.0,2.6,11.72,
1948,50.623,35.581,27.432,
1949,22.969,25.647,96.746,
1950,71.681,60.555,39.664,
1951,0.0,0.0,3.036,
1952,719.547,656.412,626.449,
1953,375.292,229.574,109.546,
1954,104.463,71.738,36.528,
1955,0.0,0.212,0.0,
1956,192.093,162.351,171.508,
1957,129.969,84.856,22.877,
1958,802.293,761.631,720.82,
1959,315.923,279.729,281.495,
1960,0.0,0.0,0.0,
1961,0.227,0.0,0.0,
1962,3.255,24.088,3.155,
1963,198.181,178.715,156.612,
1964,248.736,159.892,188.078,
1965,169.577,155.881,139.966,
1966,71.906,62.127,73.208,
1967,650.676,608.997,648.737,
1968,204.064,187.841,156.211,
1969,419.546,425.975,480.599,
1970,311.715,339.477,315.891,
1971,1.851,0.0,1.711,
1972,42.516,26.876,0.141,
1973,36.413,0.0,12.824,
1974,507.692,453.165,476.109,
1975,492.301,341.789,278.917,
1976,266.53,234.767,193.14,
1977,10.764,52.247,119.515,
1978,354.946,197.479,161.941,
1979,233.642,149.871,73.234,
1980,201.303,197.335,141.901,
1981,21.766,0.0,0.0,
1982,261.704,180.195,251.424,
1983,1011.261,632.542,1017.019,
1984,382.913,379.402,390.237,
1985,0.0,0.0,0.0,
1986,146.14,140.984,147.154,
1987,0.0,0.0,0.0,
1988,58.993,41.064,32.46,
1989,79.302,73.797,96.403,
1990,0.0,0.0,0.0,
1991,0.0,45.781,245.98,
1992,0.0,0.0,0.0,
1993,432.219,323.642,191.652,
1994,97.619,58.656,49.449,
1995,884.374,815.683,832.791,
1996,436.475,420.521,429.494,
1997,206.806,188.062,273.864,
1998,829.8,849.77,822.159,
1999,509.007,450.699,592.243,
2000,126.817,92.834,132.436,
2001,0.0,0.0,0.0,
2002,22.727,23.378,27.69,
2003,34.022,17.837,24.919,
2004,36.091,12.154,0.0,
2005,749.875,715.218,796.182,
2006,743.52,710.664,711.461,
2007,328.062,311.094,300.745,
2008,24.648,22.64,23.055,
2009,230.439,227.818,246.618,
2010,516.101,396.958,381.323,
2011,1108.225,1164.314,1210.55,
2012,132.512,125.507,106.558,
2013,0.0,0.0,0.0,
2014,13.072,19.452,8.058,
2015,0.0,0.0,1.158,
2016,0.0,0.0,0.0,
2017,583.659,525.944,530.188,
2018,353.827,339.937,295.253,
2019,605.197,575.062,587.236,
2020,98.03,73.129,56.205,
2021,166.703,198.206,247.828,
