Variable,Units,Date,Kind,PEST24: PEST24 Value,PEST20: PEST20 Value,Base: Init6 Value,Historical: Historical Data Value,Month,Water Year,PEST24: PEST24 WYT SAC,PEST24: PEST24 WYT SJR,PEST20: PEST20 WYT SAC,PEST20: PEST20 WYT SJR,Base: Init6 WYT SAC,Base: Init6 WYT SJR,Historical: Historical Data WYT SAC,Historical: Historical Data WYT SJR
UNUSED_FS,taf,1921-10-31,unused-fs,0.0,0.0,0.0,,10,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1921-11-30,unused-fs,0.0,0.0,0.0,,11,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1921-12-31,unused-fs,0.0,0.0,0.0,,12,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-01-31,unused-fs,0.0,0.0,0.0,,1,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-02-28,unused-fs,0.0,0.0,0.0,,2,1922,BN,D,BN,D,BN,D,AN,W
UNUSED_FS,taf,1922-03-31,unused-fs,0.0,0.0,0.0,,3,1922,BN,BN,BN,BN,BN,BN,AN,W
UNUSED_FS,taf,1922-04-30,unused-fs,62.246,53.065,62.152,,4,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-05-31,unused-fs,4.272,2.413,2.361,,5,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-06-30,unused-fs,112.424,124.66,113.035,,6,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-07-31,unused-fs,0.0,0.0,0.0,,7,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-08-31,unused-fs,21.846,16.477,53.635,,8,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-09-30,unused-fs,105.688,103.293,119.265,,9,1922,AN,AN,AN,AN,AN,AN,AN,W
UNUSED_FS,taf,1922-10-31,unused-fs,4.455,0.0,0.0,,10,1923,AN,AN,AN,AN,AN,AN,BN,AN
UNUSED_FS,taf,1922-11-30,unused-fs,105.754,71.289,49.4,,11,1923,AN,AN,AN,AN,AN,AN,BN,AN
UNUSED_FS,taf,1922-12-31,unused-fs,0.0,0.0,0.0,,12,1923,AN,AN,AN,AN,AN,AN,BN,AN
UNUSED_FS,taf,1923-01-31,unused-fs,0.0,0.0,0.0,,1,1923,AN,AN,AN,AN,AN,AN,BN,AN
UNUSED_FS,taf,1923-02-28,unused-fs,0.0,0.0,0.0,,2,1923,BN,BN,BN,BN,BN,BN,BN,AN
UNUSED_FS,taf,1923-03-31,unused-fs,0.0,0.0,0.0,,3,1923,BN,BN,BN,BN,BN,BN,BN,AN
UNUSED_FS,taf,1923-04-30,unused-fs,135.266,37.908,105.703,,4,1923,D,D,D,D,D,D,BN,AN
UNUSED_FS,taf,1923-05-31,unused-fs,0.0,17.724,7.347,,5,1923,BN,BN,BN,BN,BN,BN,BN,AN
